id,year,region_id,ons_code,total_link_length_km,total_link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles
144,2016,4,W92000004,33925.89,21080.57,111669800.1,157255428.3,15060546548,145122988.7,3014292673,707147709.7,19084365347
145,2001,1,E12000009,49461.9,30734.2,235113193.4,358087894.8,22621531300,274599693.3,3144389154,1532095969,27930704011
146,1998,3,S92000003,59047.414,36690.36,141565168.2,134947238.1,19358375145,373684877.8,2831454996,1498610930,24197073188
147,2002,6,E12000007,14678.82,9121,301259756.8,463944645.5,16311619508,326102983.2,2205023313,663797832.2,19970488282
148,2015,1,E12000009,50093.85,31126.88,332894120.7,377773651.5,25913469732,246655774.3,4986470636,1396997702,32921367495
149,2009,8,E12000003,32054,19917.43,273823698,237007440.9,20095009154,252615033.1,3557887927,1683357776,25825877330
150,2011,10,E12000005,32850.8,20412.54,228771632.1,214087959.4,23914372918,282418400.5,4013976626,1750041001,30174896906
151,2016,5,E12000002,37113.04,23060.97,292040129.7,246139197.4,29738614907,277812970.2,5444271869,1921259593,37628098536
152,2020,2,E12000004,31876.11,19806.9,376091932.1,165641297.9,17318845821,131094979.7,4187013950,1873629019,23676225068
153,1995,9,E12000008,46791.874,29075.12,447439361,409414698.2,38347678956,388601076,4562071331,2152450147,45860216208
154,2020,3,S92000003,59273.914,36831.1,372953845.4,156329479.3,16828646618,266671042.8,4506547653,1402686652,23160881446
155,1996,11,E12000001,15911.348,9886.85,87799615.25,55066140.61,8999159683,186013694.4,1104913557,494794846.2,10839947922
156,1994,6,E12000007,14384.456,8938.09,278444620.3,369381223,16062813080,281777122.2,2010909656,623650502.9,19348531584
157,2019,1,E12000009,50373.75,31300.8,372975926.4,333511738.4,28451144226,221369932.4,5597530310,1470846049,36074402256
158,1994,4,W92000004,32594.439,20253.25,81222565.84,104953205.8,11529083226,155326472.8,1517663199,747368324,14054394428
159,1993,1,E12000009,48751.549,30292.81,227952888.9,289926071.1,19674311197,245020920.9,2351711610,1295591407,23856561206
160,2003,3,S92000003,59489.3095,36964.94,154749677.2,203474119.7,20647099934,401573560.8,3153957610,1560131313,25966236537
161,2011,4,W92000004,33829.7,21020.8,97841154.84,143024021.8,13547138917,159326998.6,2444420129,685432917.8,16979342984
162,1995,7,E12000006,38856.836,24144.52,378670376.3,267491343.7,23980921177,268485624,3196253814,1847880314,29561032272
163,2010,11,E12000001,16167.9,10046.27,89265814.73,73547166.61,9160722583,173139458.2,1525325105,441899675.7,11374633989
164,2007,7,E12000006,39943.36,24819.65,380564419.5,373179426.7,27214726757,317042393.7,4894121292,2172111242,34971181112
165,1994,5,E12000002,36032.33,22389.45,251510383.7,195820231.7,24124412005,340644253.2,2908001197,1868710040,29437587728
166,2012,2,E12000004,31357.62612,19484.73,263274702.9,221037130,20172122381,178270670.3,3476308552,1746803190,25794541922
167,2004,8,E12000003,31854.97,19793.76,238409759.8,229904449.1,20018317510,262851825.8,3317924288,1891839591,25720837663
168,1996,10,E12000005,31997.647,19882.42,197714707.4,173214148.1,21808626394,321906906.8,2808927231,1845690493,26958365172
169,2011,5,E12000002,36942.1,22954.76,288220576.8,244187564.3,27820477204,322461572.7,4406579100,1944413845,34738119285
170,2009,9,E12000008,47482.4,29504.2,496285657,551729321.3,42303048944,357125714.3,6749914577,2308124619,52269943176
171,2007,1,E12000009,50062.86,31107.62,244452574.9,429021727.6,24749641772,297575701.1,4169093020,1549201662,31194533883
172,1998,2,E12000004,30975.206,19247.1,196971589,182329859.2,17935012440,211640957.4,2534263382,1942838629,22806085269
173,2006,6,E12000007,14745.6,9162.49,366884402.2,512070374.1,15416986351,385027940.3,2596731015,657110061.6,19567925742
174,1993,7,E12000006,38708.425,24052.3,365570485.9,270054830.4,22996109131,254816525.2,2976385503,1741077973,28238443962
175,1997,9,E12000008,46982.404,29193.51,438303841.8,437859182.4,40295119682,420121812.4,5055781447,2286898434,48495780558
176,2018,5,E12000002,37213.9839,23123.7,327069321.6,241550792.8,30945448301,201703446.1,5691752112,1928953300,39009407952
177,2008,3,S92000003,59642.3,37060.01,169401793,195470483.3,21348480962,391587204,3818090624,1709229376,27462858649
178,2006,4,W92000004,33846.84,21031.45,84779709.19,147695599.3,13768693014,177793220.2,2282227225,791693459.7,17168102518
179,2005,1,E12000009,49215.31,30580.98,250304763.1,419382871.5,24226688344,269391206.4,3794799109,1539307104,30249568634
180,2015,11,E12000001,16266.41,10107.48,93971697.29,72426678.46,9834464506,150328427.7,1761706677,448150989,12267077278
181,2020,4,W92000004,33851.07,21034.08,199823256,136817949.1,11503708560,79696030.33,2907090670,656407946.7,15283721157
182,2007,2,E12000004,31204.46,19389.55,210529019,253098451,20092583514,222005843.9,3472983964,2088005729,26128677502
183,1999,8,E12000003,31506.28,19577.09,234455179.3,195457229.2,18907101232,267257158.2,2711786422,1845665533,23927267574
184,2015,10,E12000005,33009.13,20510.92,241510125.7,213779207.9,25288635477,264917220,4583237826,1946177126,32296746857
185,2020,6,E12000007,14806.324,9200.22,589104523.2,537896966.1,13904570566,229398015.6,3213964497,626388335.4,18512218380
186,2001,10,E12000005,32347.69,20099.92,202360970.2,218061267.4,22897377055,323046491.5,3231111205,1921774405,28591370424
187,2019,7,E12000006,40047.788,24884.54,489473063.5,321753253.2,30874508423,214964008.8,6573658124,2194041080,40178924888
188,2006,5,E12000002,36880.75,22916.64,258869413,260075991.8,27690295604,357175691.5,4163299653,2188086258,34658933197
189,2016,8,E12000003,32079.67,19933.38,270443852.4,223803044.5,22588074350,213257850.9,4596020498,1808224160,29429379904
190,2014,9,E12000008,47845.64,29729.9,570930508.3,491521842.4,43130130862,328216897.3,7658422753,2319509278,53927801633
191,1993,2,E12000004,30681.75,19064.76,199706294.6,172834315.7,16200181975,190071280,2082219482,1647136436,20292443489
192,2001,6,E12000007,14640.3,9097.06,296408551.8,466169332.2,16338875719,315012873.9,2244442821,679953849.2,20044454595
193,2002,9,E12000008,47491.88,29510.09,467667619.9,556992614.2,43333247028,409336552.4,5707804376,2585386813,52592767384
194,2013,5,E12000002,37027.30305,23007.7,288414727.9,231779864.3,27972101578,312780710.7,4671625570,1823966989,35012254711
195,2018,4,W92000004,33828.9427,21020.33,108663627.3,202524381.2,15330559684,139469086.7,3267929005,721009333,19661491490
196,2001,4,W92000004,33033.29,20525.93,80349171.18,134737936.7,12683368009,171242702.9,1864949561,775339276.9,15629637486
197,2005,7,E12000006,39136.23,24318.13,401255999.2,370974691.3,26719162513,290503897.6,4436598852,2162987689,33980227644
198,2000,1,E12000009,49382.7,30684.99,234505924.3,334881117.9,22093556530,273499090.9,3066403496,1523113027,27291453262
199,2003,10,E12000005,32437.7075,20155.86,210549143.2,257832233.7,23269410899,327252083.4,3464632890,1949612021,29268740127
200,1997,8,E12000003,31363.106,19488.13,235827516.7,174421359.3,18302958067,258737412.3,2552834913,1813288974,23102240726
201,2016,9,E12000008,48069.47,29868.98,516060638.2,501353627,44933626882,302142478.6,8463411380,2456894098,56657428466
202,2019,2,E12000004,31780.006,19747.18,262950072.8,207949565.9,22916850559,166346391.7,4579533876,1999127294,29869807687
203,2004,5,E12000002,36446.88,22647.04,244235871.1,263775109.8,27786798331,347859290.1,3945320015,2205608444,34549361190
204,1996,3,S92000003,58818.581,36548.17,146351088.4,125557004,18907578159,360967831,2498995565,1434114341,23327212899
205,2020,10,E12000005,33396.053,20751.35,318681717.7,144162900,19871270564,92460562.44,4493434717,1940471872,26541800615
206,2018,6,E12000007,14807.7285,9201.1,445769368.1,517717266.6,16934255386,337152571.6,3620675944,613998837.6,22023800006
207,2014,7,E12000006,39807.25,24735.08,519370447.4,314879680.8,28158685924,253808001.3,5410047551,1931320228,36068741385
208,2011,8,E12000003,31959,19858.4,281394226.1,224709327.7,20206773084,240007247.1,3708645258,1667995873,26048130789
209,2003,11,E12000001,16132.473,10024.25,91975855.09,88883044.05,9535985052,197569848.5,1319911073,523692766.4,11666041784
210,2005,2,E12000004,30857.82,19174.16,220238709,249470377.2,19706474064,206959222.8,3213659628,2047900200,25424463493
211,2017,1,E12000009,50356.39,31290.01,333915918.6,341089225.4,27490139147,226008203.3,5451042705,1436600651,34944879932
212,2018,8,E12000003,32011.3045,19890.9,325291944.7,219033173,23805576562,218104620.6,4736622709,1842676542,30822013606
213,2015,3,S92000003,59345.13,36875.35,212255274,183570516.8,21615288578,362427591.2,4372249594,1560718233,28094254514
214,1999,6,E12000007,14568.8,9052.63,280890196.3,443327769.6,16643703367,329838559.7,2224171241,673954227.3,20314995165
215,1999,4,W92000004,32889.09,20436.33,81611400.67,125018872.3,12552777179,175651330,1806164593,818292899.5,15477904874
216,1998,1,E12000009,49200.585,30571.83,223768895.3,312504342.8,21679407068,296404875.5,2855294874,1529626730,26673237889
217,2017,11,E12000001,16334.04,10149.5,97655671.91,81520507.52,10161619960,164458777.7,1865847517,457475429.6,12730922192
218,2013,4,W92000004,33893.85138,21060.66,104395537.9,139204153.2,13755966102,159323821.3,2543845195,677249550.6,17275588822
219,2000,7,E12000006,39222.4,24371.67,382818494.7,330687337,25563695890,295678407.7,3791533643,2065401162,32046996441
220,2008,10,E12000005,32804.37,20383.69,210290810.6,225533786.2,23882463352,304115099.6,3972931842,1915419404,30300463485
221,2012,7,E12000006,39709.48629,24674.33,462964171.7,318849625.5,27080052321,237597732.3,4881646875,1858809667,34376956220
222,1999,5,E12000002,36457.91,22653.9,255397912.4,232220812.3,26464023191,381086319,3382813274,2145996892,32606140488
223,2017,2,E12000004,31689.25,19690.79,254577688.5,197919096,22062089093,172922251.3,4389808454,1962818739,28785557634
224,2001,3,S92000003,59317.77,36858.35,146383478,162408920.7,19824388315,375076374.6,2896962085,1489765812,24748601508
225,2013,6,E12000007,14829.63798,9214.71,341117115.5,399373898.9,15370714172,362018434.9,2631961164,646511513,19410579183
226,2006,8,E12000003,32106.67,19950.16,255735231.1,232470401.5,20362067889,269808575.7,3570274278,1888660862,26323282006
227,2004,9,E12000008,47290.71,29385.08,437213641.9,548372537.8,43259344878,400580351.3,6242987203,2653994587,53105279557
228,2000,2,E12000004,31103.46,19326.79,209386957.4,204838788.8,18277014256,202097379.6,2637437574,1965539608,23286927607
